CreateDate,05/21/2025,,,
Mode,B-Mode,,,
Point,X-Position,X-Speed,Y-Position,Y-Speed
78,-12.5,100,54.62,0
79,-12.5,0,56.62,225.978385371619
80,-12.5,0,58.62,224.807553707386
81,-12.5,0,60.62,223.63312640809
82,-12.5,0,62.62,222.456139964851
83,-12.5,0,64.62,219.258133732076
84,-12.5,0,66.62,214.106710118192
85,-12.5,0,68.62,209.000775512094
86,-12.5,0,70.62,203.941333234
87,-12.5,0,72.62,199.029731058766
88,-12.5,0,74.62,196.057039199418
89,-12.5,0,76.62,192.139060767663
90,-12.5,0,78.62,190.32352647826
91,-12.5,0,80.62,189.154626939515
92,-12.5,0,82.62,188.001339624416
93,-12.5,0,84.62,186.865846613493
94,-12.5,0,86.62,185.750427739209
95,-12.5,0,88.62,160.476330314474
96,-12.5,0,90.62,140.976375087929
97,-12.5,0,92.62,139.988921206889
98,-12.5,0,94.62,139.032517973457
99,-12.5,0,96.62,123.012675510973
100,-12.5,0,98.62,115.723919859425
101,-12.5,0,100.62,94.3895786880378
102,-12.5,0,102.62,82.5622713567639
103,-12.5,0,104.62,81.9873098719295
104,-12.5,0,106.62,81.4473251896804
105,-12.5,0,108.62,74.6152659321655
106,-12.5,0,110.62,68.6178993130206
107,-12.5,0,112.62,65.6663764526453
108,-12.5,0,114.62,61.8390880944504
109,-12.5,0,116.62,60.4752223300298
110,-12.5,0,118.62,60.2287844069272
111,-12.5,0,120.62,60.017579099748
112,-12.5,0,122.62,59.8422075232464
113,-12.5,0,124.62,62.6589337440916
114,-12.5,0,126.62,66.8926496747989
115,-12.5,0,128.62,71.7065629238533
116,-12.5,0,130.62,77.2348202302465
117,-12.5,0,132.62,81.8461742094478
118,-12.5,0,134.62,81.3856364744589
119,-12.5,0,136.62,80.9017515931167
120,-12.5,0,138.62,80.3989297380445
121,-12.5,0,140.62,79.8782855992583
122,-12.5,0,142.62,79.5429598058952
123,-12.5,0,144.62,79.8263338388425
124,-12.5,0,146.62,80.1527397608517
125,-12.5,0,148.62,80.5212018350026
126,-12.5,0,150.62,80.9306422204599
127,-12.5,0,152.62,81.3798918519004
128,-12.5,0,154.62,94.1570213684816
129,-12.5,0,156.62,100.508772976059
130,-12.5,0,158.62,104.272817546695
131,-12.5,0,160.62,104.963866682153
132,-12.5,0,162.62,105.692394171556
133,-12.5,0,164.62,128.917004517549
134,-12.5,0,166.62,139.107506059242
135,-12.5,0,168.62,145.145182691787
