# 迭代步,旋转角度(度),总误差
566,22.318308,1.121630
567,36.181775,1.594616
568,-40.207918,0.029384
569,19.272804,23.151839
570,-19.113929,0.486231
571,-55.289809,0.097155
572,-40.408780,0.186580
573,-14.199986,2.705193
574,-7.925814,0.739700
575,3.940723,0.143948
576,-22.273823,0.361884
577,-36.503193,0.058881
578,-52.971647,0.115591
579,-44.994426,0.044504
580,-38.340913,0.102875
581,0.515772,0.161891
582,5.124082,0.517813
583,-50.859868,13.949235
584,14.657677,0.601699
585,19.238585,0.072144
586,3.305256,1.104530
587,-33.655142,0.504335
588,-27.948540,0.955216
589,-56.285305,4.927125
590,56.218730,0.254654
591,-57.621235,0.084446
592,-36.660106,0.166058
593,-40.216756,0.820038
594,50.317741,0.074094
595,3.239964,0.139105
596,-47.395035,0.575858
597,-50.626172,0.179006
598,-12.721698,0.059137
599,58.485747,0.602935
600,-49.995089,0.077420
601,-14.795380,7.211866
602,-20.174552,0.947559
603,-44.051772,0.348615
604,-45.504735,0.727967
605,-2.347394,2.485173
606,34.828530,0.221433
607,-30.406808,1.862337
608,-14.081528,0.668589
609,-59.986373,0.153164
610,-51.221111,0.103815
611,-49.490899,1.318134
612,-38.486541,0.124122
613,-21.729966,0.761461
614,-27.741566,0.089150
615,-19.286665,4.407331
616,16.393678,0.239845
617,-37.523605,0.094104
618,44.870957,0.045472
619,-51.897976,0.214524
620,-42.610050,5.469277
621,-44.712890,3.940562
622,-24.533646,0.101935
623,11.329415,0.819594
624,-59.402354,0.118350
625,58.143354,2.331666
626,-31.067945,0.086856
627,-39.360316,4.517972
628,10.478562,7.240508
629,25.274436,0.096634
630,-20.620943,4.936988
631,-38.990320,13.188197
632,0.196972,0.132940
633,-41.565960,0.884144
634,-36.260556,0.260173
635,-6.236858,4.294796
636,-21.701873,0.091492
637,5.393269,0.167490
638,10.129161,5.655603
639,5.619894,4.256175
640,-25.367294,5.857200
641,-46.567694,0.855444
642,-46.954591,0.525071
643,59.597637,0.201868
644,42.871690,3.845010
645,-36.883856,0.060234
646,1.596367,0.353853
647,59.510306,1.774050
648,18.517244,0.084300
649,-41.782321,0.582943
650,22.331264,0.127829
651,-2.972951,2.955543
652,25.064044,6.763742
653,-56.162290,0.157091
654,-54.815392,0.598774
655,-24.276854,6.602853
656,-35.069301,0.402587
657,20.959486,0.405664
658,-44.576986,0.530152
659,-25.490526,0.326197
660,21.911951,1.081155
661,-39.429747,1.044861
662,6.953038,0.133403
663,-39.837934,0.315750
664,-28.323944,0.043193
665,-48.386575,0.103558
666,-20.384121,0.530158
667,13.247048,0.291111
668,25.009662,2.101692
669,-19.877956,0.605011
670,-7.925814,0.085797
671,-11.867727,0.103358
672,-30.152741,0.089064
673,-36.503193,3.530626
674,-58.620960,0.273759
675,-26.543710,0.678742
676,6.143865,0.104487
677,-19.884232,0.855357
678,-44.365392,0.749656
679,-54.101292,0.841856
680,-0.102405,0.223974
681,19.238585,0.810847
682,-39.285708,14.738090
683,1.207613,1.793654
684,-0.351858,0.451053
685,-56.285305,0.441344
686,56.218730,0.824401
687,-57.621235,2.950802
688,-53.781126,5.151297
689,-19.746044,0.080423
690,-18.262673,0.043985
691,-22.983826,8.333806
692,-48.117570,0.095888
693,16.301866,0.229660
694,-44.714236,0.129491
695,-9.429845,0.198572
