X(mm),Y(mm),Velocity(mm/s)
61.887,77.987,500.000000
62.893,77.987,500.000000
63.899,77.987,500.000000
64.906,77.987,500.000000
65.912,77.987,500.000000
66.918,77.987,500.000000
67.925,77.987,500.000000
68.931,77.987,500.000000
69.937,77.987,500.000000
70.943,77.987,500.000000
71.950,77.987,500.000000
72.956,77.987,500.000000
73.962,77.987,500.000000
74.969,77.987,500.000000
75.975,77.987,500.000000
76.981,77.987,500.000000
77.987,77.987,500.000000
78.994,77.987,500.000000
80.000,77.987,500.000000
-80.000,76.981,500.000000
-78.994,76.981,500.000000
-77.987,76.981,500.000000
-76.981,76.981,500.000000
-75.975,76.981,500.000000
-74.969,76.981,500.000000
-73.962,76.981,500.000000
-72.956,76.981,500.000000
-71.950,76.981,500.000000
-70.943,76.981,500.000000
-69.937,76.981,500.000000
-68.931,76.981,500.000000
-67.925,76.981,500.000000
-66.918,76.981,500.000000
-65.912,76.981,500.000000
-64.906,76.981,500.000000
-63.899,76.981,500.000000
-62.893,76.981,500.000000
-61.887,76.981,500.000000
-60.881,76.981,500.000000
-59.874,76.981,500.000000
-58.868,76.981,500.000000
-57.862,76.981,500.000000
-56.855,76.981,500.000000
-55.849,76.981,500.000000
-54.843,76.981,500.000000
-53.836,76.981,500.000000
-52.830,76.981,500.000000
-51.824,76.981,500.000000
-50.818,76.981,500.000000
-49.811,76.981,500.000000
-48.805,76.981,500.000000
-47.799,76.981,500.000000
-46.792,76.981,500.000000
-45.786,76.981,500.000000
-44.780,76.981,500.000000
-43.774,76.981,500.000000
-42.767,76.981,500.000000
-41.761,76.981,500.000000
-40.755,76.981,500.000000
-39.748,76.981,500.000000
-38.742,76.981,500.000000
-37.736,76.981,500.000000
-36.730,76.981,500.000000
-35.723,76.981,500.000000
-34.717,76.981,500.000000
-33.711,76.981,500.000000
-32.704,76.981,500.000000
-31.698,76.981,500.000000
-30.692,76.981,500.000000
-29.686,76.981,500.000000
-28.679,76.981,500.000000
-27.673,76.981,500.000000
-26.667,76.981,500.000000
-25.660,76.981,500.000000
-24.654,76.981,500.000000
-23.648,76.981,500.000000
-22.642,76.981,500.000000
-21.635,76.981,500.000000
-20.629,76.981,500.000000
-19.623,76.981,500.000000
-18.616,76.981,500.000000
-17.610,76.981,500.000000
-16.604,76.981,500.000000
-15.597,76.981,500.000000
-14.591,76.981,500.000000
-13.585,76.981,500.000000
-12.579,76.981,500.000000
-11.572,76.981,500.000000
-10.566,76.981,500.000000
-9.560,76.981,500.000000
-8.553,76.981,500.000000
-7.547,76.981,500.000000
-6.541,76.981,500.000000
-5.535,76.981,500.000000
-4.528,76.981,500.000000
-3.522,76.981,500.000000
-2.516,76.981,500.000000
-1.509,76.981,500.000000
-0.503,76.981,500.000000
