X(mm),Y(mm),Velocity(mm/s)
60.8805,44.7799,98.155295
64.9057,44.7799,100.000000
68.9308,44.7799,100.000000
72.9560,44.7799,100.000000
76.9811,44.7799,100.000000
-80.0000,40.7547,100.000000
-75.9748,40.7547,100.000000
-71.9497,40.7547,100.000000
-67.9245,40.7547,100.000000
-63.8994,40.7547,99.873955
-59.8742,40.7547,91.188306
-55.8491,40.7547,23.508562
-51.8239,40.7547,0.100000
-47.7987,40.7547,0.100000
-43.7736,40.7547,0.100000
-39.7484,40.7547,0.100000
-35.7233,41.4547,100.000000
-35.7233,40.7547,0.100000
-31.6981,40.7547,0.100000
-27.6730,40.7547,0.100000
-23.6478,40.7547,0.100000
-19.6226,40.7547,0.100000
-15.5975,40.7547,0.100000
-11.5723,40.7547,0.100000
-7.5472,40.7547,0.100000
-3.5220,40.7547,0.100000
0.5031,40.7547,0.100000
4.5283,40.7547,0.100000
8.5535,40.7547,0.100000
12.5786,40.7547,0.100000
16.6038,40.7547,0.100000
20.6289,40.7547,0.100000
24.6541,40.7547,0.100000
28.6792,40.7547,0.100000
32.7044,40.7547,0.100000
36.7296,40.7547,0.100000
40.7547,40.7547,0.100000
44.7799,40.7547,0.100000
48.8050,40.7547,33.452263
52.8302,40.7547,22.300000
56.8553,40.7547,23.950449
60.8805,40.7547,73.087788
64.9057,40.7547,100.000000
68.9308,40.7547,100.000000
72.9560,40.7547,100.000000
76.9811,40.7547,100.000000
-80.0000,36.7296,100.000000
-75.9748,36.7296,100.000000
-71.9497,36.7296,100.000000
-67.9245,36.7296,100.000000
-63.8994,36.7296,78.730040
-59.8742,36.7296,17.206129
-55.8491,36.7296,44.500000
-51.8239,36.7296,0.100000
-47.7987,36.7296,0.100000
-43.7736,36.7296,0.100000
-39.7484,36.7296,0.100000
-35.7233,36.7296,0.100000
-31.6981,36.7296,0.100000
-27.6730,36.7296,0.100000
-23.6478,36.7296,0.100000
-19.6226,36.7296,0.100000
-15.5975,36.7296,0.100000
-11.5723,36.7296,0.100000
-7.5472,36.7296,0.100000
-3.5220,36.7296,0.100000
0.5031,36.7296,0.100000
4.5283,37.4296,100.000000
4.5283,36.7296,0.100000
8.5535,36.7296,0.100000
12.5786,36.7296,0.100000
16.6038,36.7296,0.100000
20.6289,36.7296,0.100000
24.6541,36.7296,0.100000
28.6792,36.7296,0.100000
32.7044,36.7296,0.100000
36.7296,36.7296,0.100000
40.7547,36.7296,0.100000
44.7799,36.7296,0.100000
48.8050,36.7296,77.800000
52.8302,36.7296,33.400000
56.8553,36.7296,0.100000
60.8805,36.7296,66.016454
64.9057,36.7296,91.114666
68.9308,36.7296,100.000000
72.9560,36.7296,100.000000
76.9811,36.7296,100.000000
-80.0000,32.7044,100.000000
-75.9748,32.7044,100.000000
-71.9497,32.7044,100.000000
-67.9245,32.7044,100.000000
-63.8994,32.7044,35.805554
-59.8742,32.7044,11.200000
-55.8491,32.7044,0.100000
-51.8239,32.7044,0.100000
-47.7987,32.7044,0.100000
-43.7736,32.7044,0.100000
-39.7484,32.7044,0.100000
-35.7233,32.7044,0.100000
-31.6981,32.7044,0.100000
-27.6730,32.7044,0.100000
-23.6478,32.7044,0.100000
-19.6226,32.7044,0.100000
-15.5975,32.7044,0.100000
-11.5723,32.7044,0.100000
-7.5472,32.7044,0.100000
-3.5220,32.7044,0.100000
0.5031,32.7044,0.100000
4.5283,32.7044,0.100000
8.5535,32.7044,0.100000
12.5786,32.7044,0.100000
16.6038,32.7044,0.100000
20.6289,32.7044,0.100000
24.6541,32.7044,0.100000
28.6792,32.7044,0.100000
32.7044,32.7044,0.100000
36.7296,32.7044,0.100000
40.7547,32.7044,0.100000
44.7799,33.4044,100.000000
44.7799,32.7044,0.100000
48.8050,32.7044,100.000000
52.8302,32.7044,44.500000
56.8553,32.7044,0.100000
60.8805,32.7044,1.149148
64.9057,32.7044,69.022612
68.9308,32.7044,100.000000
72.9560,32.7044,100.000000
76.9811,32.7044,100.000000
-80.0000,28.6792,100.000000
-75.9748,28.6792,100.000000
-71.9497,28.6792,100.000000
-67.9245,28.6792,81.733134
-63.8994,28.6792,50.916457
-59.8742,28.6792,0.100000
-55.8491,28.6792,0.100000
-51.8239,28.6792,0.100000
-47.7987,28.6792,0.100000
-43.7736,28.6792,0.100000
-39.7484,28.6792,0.100000
-35.7233,28.6792,0.100000
-31.6981,28.6792,0.100000
-27.6730,28.6792,0.100000
-23.6478,28.6792,0.100000
-19.6226,28.6792,0.100000
-15.5975,28.6792,0.100000
-11.5723,28.6792,0.100000
-7.5472,28.6792,0.100000
-3.5220,28.6792,0.100000
0.5031,28.6792,0.100000
4.5283,28.6792,0.100000
8.5535,28.6792,0.100000
12.5786,28.6792,0.100000
16.6038,28.6792,0.100000
20.6289,28.6792,0.100000
24.6541,28.6792,0.100000
28.6792,28.6792,0.100000
32.7044,28.6792,0.100000
36.7296,28.6792,0.100000
40.7547,28.6792,0.100000
44.7799,28.6792,0.100000
48.8050,28.6792,66.700000
52.8302,28.6792,33.400000
56.8553,28.6792,55.600000
60.8805,28.6792,55.600000
64.9057,28.6792,51.927200
68.9308,28.6792,93.509105
72.9560,28.6792,100.000000
76.9811,28.6792,100.000000
-80.0000,24.6541,100.000000
-75.9748,25.3541,100.000000
-75.9748,24.6541,100.000000
-71.9497,24.6541,100.000000
-67.9245,24.6541,48.570472
-63.8994,24.6541,11.200000
-59.8742,24.6541,0.100000
-55.8491,24.6541,0.100000
-51.8239,24.6541,0.100000
-47.7987,24.6541,0.100000
-43.7736,24.6541,0.100000
-39.7484,24.6541,0.100000
-35.7233,24.6541,0.100000
-31.6981,24.6541,0.100000
-27.6730,24.6541,0.100000
-23.6478,24.6541,0.100000
-19.6226,24.6541,0.100000
-15.5975,24.6541,0.100000
-11.5723,24.6541,0.100000
-7.5472,24.6541,0.100000
-3.5220,24.6541,0.100000
0.5031,24.6541,0.100000
4.5283,24.6541,0.100000
8.5535,24.6541,0.100000
12.5786,24.6541,0.100000
16.6038,24.6541,0.100000
20.6289,24.6541,0.100000
24.6541,24.6541,0.100000
28.6792,24.6541,0.100000
32.7044,24.6541,0.100000
36.7296,24.6541,0.100000
40.7547,24.6541,0.100000
44.7799,24.6541,0.100000
48.8050,24.6541,0.100000
52.8302,24.6541,0.100000
56.8553,24.6541,0.100000
60.8805,24.6541,44.500000
64.9057,24.6541,23.199844
68.9308,24.6541,74.094473
72.9560,24.6541,100.000000
76.9811,24.6541,100.000000
-80.0000,20.6289,100.000000
-75.9748,20.6289,100.000000
-71.9497,20.6289,100.000000
-67.9245,20.6289,20.521246
-63.8994,20.6289,0.100000
-59.8742,20.6289,0.100000
-55.8491,20.6289,0.100000
-51.8239,20.6289,0.100000
-47.7987,20.6289,0.100000
-43.7736,20.6289,0.100000
-39.7484,20.6289,0.100000
-35.7233,21.3289,100.000000
-35.7233,20.6289,0.100000
-31.6981,20.6289,0.100000
-27.6730,20.6289,0.100000
-23.6478,20.6289,0.100000
-19.6226,20.6289,0.100000
-15.5975,20.6289,0.100000
-11.5723,20.6289,0.100000
-7.5472,20.6289,0.100000
-3.5220,20.6289,0.100000
